127.0.0.1 - - [08/Mar/2017:04:17:55 +0100] "GET /iconfont/material-icons.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Mar/2017:04:17:55 +0100] "GET /libs/screendebug/css/screendebug.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Mar/2017:04:17:55 +0100] "GET /libs/simpledrag/simpledrag.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Mar/2017:04:17:55 +0100] "GET /libs/screendebug/js/screendebug.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Mar/2017:04:17:55 +0100] "GET /libs/calendar/calendar.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Mar/2017:04:17:55 +0100] "GET /libs/split/vertical.png HTTP/1.1" 304 -
127.0.0.1 - - [08/Mar/2017:04:18:06 +0100] "GET /libs/jquery-ui-1.12.1/images/ui-icons_777777_256x240.png HTTP/1.1" 304 -
127.0.0.1 - - [08/Mar/2017:04:18:06 +0100] "GET /libs/jquery-ui-1.12.1/images/ui-icons_444444_256x240.png HTTP/1.1" 304 -
127.0.0.1 - - [08/Mar/2017:04:18:08 +0100] "POST /services/roadmaps.php?action=calendrier-task-update HTTP/1.1" 200 4
127.0.0.1 - - [08/Mar/2017:04:18:08 +0100] "GET /calendrier HTTP/1.1" 200 1114483
127.0.0.1 - - [08/Mar/2017:04:18:08 +0100] "GET /style/style.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Mar/2017:04:18:08 +0100] "GET /style/layout.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Mar/2017:04:18:08 +0100] "GET /style/pastel-theme.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Mar/2017:04:18:08 +0100] "GET /libs/jquery-ui-1.12.1/jquery-ui.min.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Mar/2017:04:18:08 +0100] "GET /libs/zquery/zquery.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Mar/2017:04:18:08 +0100] "GET /libs/jquery-ui-1.12.1/external/jquery/jquery.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Mar/2017:04:18:08 +0100] "GET /libs/jquery-ui-1.12.1/jquery-ui.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Mar/2017:04:18:08 +0100] "GET /libs/split/split.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Mar/2017:04:18:08 +0100] "GET /style/roadmaps.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Mar/2017:04:18:08 +0100] "GET /iconfont/material-icons.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Mar/2017:04:18:08 +0100] "GET /libs/screendebug/css/screendebug.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Mar/2017:04:18:08 +0100] "GET /libs/simpledrag/simpledrag.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Mar/2017:04:18:08 +0100] "GET /libs/screendebug/js/screendebug.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Mar/2017:04:18:08 +0100] "GET /libs/calendar/calendar.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Mar/2017:04:18:08 +0100] "GET /libs/split/vertical.png HTTP/1.1" 304 -
127.0.0.1 - - [08/Mar/2017:04:18:22 +0100] "GET /libs/jquery-ui-1.12.1/images/ui-icons_777777_256x240.png HTTP/1.1" 304 -
127.0.0.1 - - [08/Mar/2017:04:18:22 +0100] "GET /libs/jquery-ui-1.12.1/images/ui-icons_444444_256x240.png HTTP/1.1" 304 -
127.0.0.1 - - [08/Mar/2017:04:18:24 +0100] "POST /services/roadmaps.php?action=calendrier-all-save HTTP/1.1" 200 4
127.0.0.1 - - [08/Mar/2017:04:18:26 +0100] "GET /calendrier HTTP/1.1" 200 1114630
127.0.0.1 - - [08/Mar/2017:04:18:26 +0100] "GET /style/style.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Mar/2017:04:18:26 +0100] "GET /style/layout.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Mar/2017:04:18:26 +0100] "GET /style/pastel-theme.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Mar/2017:04:18:26 +0100] "GET /libs/jquery-ui-1.12.1/jquery-ui.min.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Mar/2017:04:18:26 +0100] "GET /libs/zquery/zquery.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Mar/2017:04:18:26 +0100] "GET /libs/jquery-ui-1.12.1/external/jquery/jquery.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Mar/2017:04:18:26 +0100] "GET /libs/jquery-ui-1.12.1/jquery-ui.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Mar/2017:04:18:26 +0100] "GET /libs/split/split.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Mar/2017:04:18:26 +0100] "GET /style/roadmaps.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Mar/2017:04:18:26 +0100] "GET /iconfont/material-icons.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Mar/2017:04:18:26 +0100] "GET /libs/screendebug/css/screendebug.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Mar/2017:04:18:26 +0100] "GET /libs/simpledrag/simpledrag.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Mar/2017:04:18:26 +0100] "GET /libs/screendebug/js/screendebug.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Mar/2017:04:18:26 +0100] "GET /libs/calendar/calendar.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Mar/2017:04:18:26 +0100] "GET /libs/split/vertical.png HTTP/1.1" 304 -
127.0.0.1 - - [08/Mar/2017:04:18:53 +0100] "GET /services/roadmaps.php?action=calendrier-close-container&id=7 HTTP/1.1" 200 4
127.0.0.1 - - [08/Mar/2017:04:18:54 +0100] "GET /services/roadmaps.php?action=calendrier-close-container&id=8 HTTP/1.1" 200 4
127.0.0.1 - - [08/Mar/2017:04:18:54 +0100] "GET /services/roadmaps.php?action=calendrier-close-container&id=9 HTTP/1.1" 200 4
127.0.0.1 - - [08/Mar/2017:04:25:41 +0100] "GET /calendrier HTTP/1.1" 200 1114719
127.0.0.1 - - [08/Mar/2017:04:25:42 +0100] "GET /style/layout.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Mar/2017:04:25:42 +0100] "GET /style/pastel-theme.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Mar/2017:04:25:42 +0100] "GET /libs/jquery-ui-1.12.1/jquery-ui.min.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Mar/2017:04:25:42 +0100] "GET /style/style.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Mar/2017:04:25:42 +0100] "GET /libs/jquery-ui-1.12.1/external/jquery/jquery.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Mar/2017:04:25:42 +0100] "GET /libs/jquery-ui-1.12.1/jquery-ui.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Mar/2017:04:25:42 +0100] "GET /libs/split/split.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Mar/2017:04:25:42 +0100] "GET /style/roadmaps.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Mar/2017:04:25:42 +0100] "GET /iconfont/material-icons.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Mar/2017:04:25:42 +0100] "GET /libs/simpledrag/simpledrag.js HTTP/1.1" 304 -
